id;curso;Area_the;setor;turno;grau;forma_evasao;ira;contagem_disciplinas;contagem_reprovacoes;evasao;proprep;
50205;Odontologia;CL;Setor de Ciências da Saúde;I;Bacharelado;Formatura;0,791;94;1;0;0,010638298;0,327732646
39899;Ciências Sociais;SS;Setor de Ciências Humanas;M;Bacharelado;Abandono;0,2452;28;23;1;0,821428571;0,327742331
4399;Direito;LW;Setor de Ciências Jurídicas;N;Bacharelado;Formatura;0,8169;69;1;0;0,014492754;0,327779008
71628;Secretariado;BE;Setor de Educação Profissional e Tecnológica;N;Tecnológico;Sem evasão;0,9427;41;0;0;0;0,327782509
79349;Engenharia Mecânica;ET;Setor de Tecnologia;I;Bacharelado;Sem evasão;0,7034;17;0;0;0;0,327796507
28174;Ciências Sociais;SS;Setor de Ciências Humanas;M;Bacharelado;Abandono;0,6496;53;6;1;0,113207547;0,327797691
69758;Engenharia de Alimentos;LS;Jandaia;M;Bacharelado;Abandono;0,1233;10;6;1;0,6;0,327800733
25638;Análise e Desenvolvimento de Sistemas;CS;Setor de Educação Profissional e Tecnológica;T;Tecnológico;Formatura;0,6047;68;15;0;0,220588235;0,327803923
63409;Engenharia Industrial Madeireira;ET;Setor de Ciências Agrárias;N;Bacharelado;Abandono;0,2887;28;11;1;0,392857143;0,32783986
70745;Direito;LW;Setor de Ciências Jurídicas;N;Bacharelado;Abandono;0,8673;24;0;1;0;0,327849789
31167;Terapia Ocupacional;PS;Setor de Ciências da Saúde;I;Bacharelado;Formatura;0,7707;85;1;0;0,011764706;0,32785738
20526;Odontologia;CL;Setor de Ciências da Saúde;I;Bacharelado;Abandono;0,2571;7;7;1;1;0,3278614
41108;Pedagogia;ED;Setor de Educação;M;Licenciatura;Formatura;0,9017;57;0;0;0;0,327879383
77149;Engenharia Mecânica;ET;Setor de Tecnologia;I;Bacharelado;Sem evasão;0,6044;26;4;0;0,153846154;0,327908522
73971;Medicina;CL;Setor de Ciências da Saúde;I;Bacharelado;Sem evasão;0,8008;70;0;0;0;0,327908983
14791;Comunicação Institucional;SS;Setor de Educação Profissional e Tecnológica;M;Tecnológico;Formatura;0,6036;56;12;0;0,214285714;0,327927324
6442;Direito;LW;Setor de Ciências Jurídicas;M;Bacharelado;Formatura;0,7747;79;0;0;0;0,327927892
824;Análise e Desenvolvimento de Sistemas;CS;Setor de Educação Profissional e Tecnológica;T;Tecnológico;Abandono;0;7;7;1;1;0,327931805
67470;Análise e Desenvolvimento de Sistemas;CS;Setor de Educação Profissional e Tecnológica;T;Tecnológico;Sem evasão;0,4858;20;1;0;0,05;0,327937157
60872;Administração;BE;Setor de Ciências Sociais Aplicadas;N;Bacharelado;Formatura;0,7509;78;1;0;0,012820513;0,327939098
9649;Pedagogia;ED;Setor de Educação;N;Licenciatura;Formatura;0,8824;77;1;0;0,012987013;0,327944157
64966;Gestão da Qualidade;BE;Setor de Educação Profissional e Tecnológica;N;Tecnológico;Formatura;0,9334;34;0;0;0;0,327946717
13728;Biomedicina;CL;Setor de Ciências Biológicas;I;Bacharelado;Formatura;0,7944;71;2;0;0,028169014;0,32795688
68127;Direito;LW;Setor de Ciências Jurídicas;N;Bacharelado;Sem evasão;0,2531;25;9;0;0,36;0,327958596
